keyword,count
uncomfortable,15
ah,15
smoothly,15
heartbreaking,15
video,15
samsung,15
piece,15
excited,15
enjoy,15
parts,15
leisure,15
pleasure,15
renee,15
irritating,15
finish,15
humorous,15
weather,15
anticipation,14
sleeping,14
doing,14
reconciliation,14
warmheartedness,14
gift,14
annoyed,14
aged,14
truth,14
fighting,14
respected,14
overall,14
empathized,14
later,14
released,14
break,14
bitter,14
lives,14
sincerity,14
huh,14
human,14
meaning,14
pride,14
workaholic,14
empathetic,14
poster,14
bye,14
directing,14
sound,13
chilly,13
hair,13
yes,13
message,13
posture,13
book,13
warmed,13
bitterness,13
elders,13
commitment,13
remember,13
power,13
unemployment,13
charismatic,13
internships,13
housewife,13
understand,13
burden,13
writing,13
shame,13
peace,13
exam,13
colleague,13
grave,13
change,13
color,13
ends,13
comedies,13
barbie,13
unattractive,13
whines,13
smooth,12
grandfathers,12
expression,12
superman,12
guy,12
actresses,12
effects,12
inspiration,12
lake,12
lightweight,12
acted,12
attitude,12
gfriend,12
twilight,12
convey,12
martha,12
awkward,12
monday,12
concentration,12
skill,12
presence,12
freshness,12
second,12
shine,12
study,12
hug,12
cold,12
pay,12
reflected,12
met,12
vitality,12
smell,12
massage,12
totally,12
chance,12
scent,12
ease,12
role,12
flashy,12
nose,12
pangyo,12
gentleness,11
blockbusters,11
cinematic,11
wit,11
applause,11
worst,11
kingsman,11
rain,11
gender,11
koreans,11
cake,11
marriage,11
monotonous,11
action,11
charms,11
bright,11
apple,11
simple,11
cheating,11
lethargic,11
dreamed,11
running,11
loneliness,11
plain,11
concerns,11
interning,11
vicarious,11
wiser,11
elements,11
kind,11
thing,11
problem,11
ve,11
rated,11
worthy,11
overrated,11
elite,11
indescribable,11
looking,11
opportunity,11
wall,11
missing,11
tree,11
subtle,11
textbook,11
thrill,11
stimulation,11
overwhelmed,11
hesser,11
positivity,11
films,11
partner,11
reversal,11
married,11
positively,11
nosy,11
dot,10
compass,10
spirit,10
beer,10
blink,10
charm,10
points,10
unreal,10
proper,10
embarrassed,10
thrilling,10
humanity,10
things,10
twists,10
leisurely,10
mentee,10
stable,10
violent,10
perspective,10
unexpectedly,10
witty,10
husbands,10
iphone,10
professional,10
wei,10
fairytale,10
blinking,10
motivated,10
material,10
organized,10
resonance,10
encouraging,10
breathing,10
resting,10
endings,10
trusted,10
rest,10
rovers,10
yoga,10
deep,10
counseling,10
ooh,10
ages,10
choi,10
pants,10
books,10
gentlemanly,10
smallness,10
entrepreneurs,10
hyun,10
boat,10
spoiler,10
excitement,10
babysitter,10
utopia,9
fear,9
mountains,9
